DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
05-Jun-2025,"122,106.82","122,281.58","121,517.90","121,641.00","407,564,641",-157.86
10-Jun-2025,"122,152.22","122,611.53","121,589.90","122,024.44","235,295,388",383.44
11-Jun-2025,"123,290.25","124,588.17","123,237.99","124,352.68","332,588,686","2,328.24"
12-Jun-2025,"124,807.09","126,718.28","123,846.55","124,093.12","371,979,603",-259.56
13-Jun-2025,"122,679.01","123,058.06","121,604.59","122,143.56","238,192,304","-1,949.56"
16-Jun-2025,"122,168.25","122,903.33","121,889.95","122,225.35","181,443,219",81.79
17-Jun-2025,"122,367.28","122,891.61","121,815.38","121,971.04","203,245,334",-254.31
18-Jun-2025,"121,857.96","121,905.49","120,417.99","120,465.93","122,208,772","-1,505.11"
19-Jun-2025,"121,103.35","121,745.30","119,770.03","120,002.59","134,097,500",-463.34
20-Jun-2025,"120,234.95","120,828.86","119,872.15","120,023.23","136,795,591",20.64
23-Jun-2025,"118,272.00","118,798.51","115,887.48","116,167.47","196,190,358","-3,855.76"
24-Jun-2025,"120,499.52","122,725.21","120,369.53","122,246.63","318,302,088","6,079.16"
25-Jun-2025,"122,753.01","123,256.55","122,168.76","122,761.64","221,146,514",515.01
26-Jun-2025,"123,031.82","123,417.87","122,142.42","122,046.46","244,240,559",-715.18
27-Jun-2025,"122,229.41","125,285.05","122,222.69","124,379.06","220,312,628","2,332.60"
30-Jun-2025,"124,884.07","125,748.58","124,500.20","125,627.31","258,993,624","1,248.25"
01-Jul-2025,"126,116.17","128,475.69","126,113.27","128,199.42","336,907,385","2,572.11"
02-Jul-2025,"128,616.11","130,545.94","128,616.11","130,344.03","345,794,612","2,144.61"
03-Jul-2025,"130,831.28","131,325.10","129,776.20","130,686.65","280,008,751",342.62
04-Jul-2025,"130,896.02","132,129.60","130,716.10","131,949.06","198,953,974","1,262.41"
07-Jul-2025,"132,485.75","133,862.01","132,467.12","133,370.14","344,248,572","1,421.08"
08-Jul-2025,"133,746.63","134,200.27","132,696.35","133,403.19","324,460,593",33.05
09-Jul-2025,"133,524.93","133,566.37","132,326.17","132,576.98","161,034,774",-826.21
10-Jul-2025,"132,773.87","133,902.34","132,706.02","133,782.34","325,787,943","1,205.36"
11-Jul-2025,"134,130.91","134,931.96","134,130.40","134,299.76","290,053,740",517.42
14-Jul-2025,"134,937.43","136,841.49","134,937.43","136,502.53","259,908,009","2,202.77"
15-Jul-2025,"136,840.16","137,747.60","135,826.40","135,939.87","307,744,740",-562.66
16-Jul-2025,"136,169.63","137,232.10","135,542.88","136,379.96","273,102,874",440.09
17-Jul-2025,"136,674.98","138,943.47","136,674.98","138,665.49","299,278,059","2,285.53"
18-Jul-2025,"139,600.23","140,585.38","138,343.72","138,597.36","256,324,833",-68.13
21-Jul-2025,"139,142.17","139,201.15","138,149.56","138,217.58","221,762,645",-379.78
22-Jul-2025,"138,197.81","139,901.77","138,197.81","139,419.61","245,773,858","1,202.03"
23-Jul-2025,"139,966.07","140,202.17","139,105.05","139,254.35","193,415,774",-165.26
24-Jul-2025,"139,501.60","139,867.82","138,614.09","138,692.66","272,658,121",-561.69
25-Jul-2025,"138,876.07","139,436.76","138,808.64","139,207.28","190,962,843",514.62
28-Jul-2025,"139,759.59","140,149.23","139,195.84","139,380.05","213,994,569",172.77
29-Jul-2025,"139,733.06","140,331.01","137,636.37","137,964.81","212,749,381","-1,415.24"
30-Jul-2025,"138,141.59","139,018.88","137,658.81","138,412.25","167,694,720",447.44
31-Jul-2025,"139,379.14","140,215.22","139,083.74","139,390.42","291,205,593",978.17
01-Aug-2025,"139,634.90","141,160.93","138,957.70","141,034.98","304,552,587","1,644.56"
04-Aug-2025,"141,962.94","142,323.34","141,440.48","142,052.64","349,227,740","1,017.66"
05-Aug-2025,"142,235.71","143,281.34","142,235.71","143,037.16","262,315,814",984.52
06-Aug-2025,"143,409.59","145,187.17","143,409.59","145,088.49","383,514,758","2,051.33"
07-Aug-2025,"145,793.06","146,081.02","145,250.17","145,647.13","326,588,620",558.64
08-Aug-2025,"145,999.39","146,813.43","144,917.18","145,382.79","276,740,075",-264.34
11-Aug-2025,"145,650.33","147,005.17","145,258.49","146,929.84","299,280,724","1,547.05"
12-Aug-2025,"147,467.44","147,976.98","146,894.62","147,005.32","331,786,187",75.48
13-Aug-2025,"147,334.29","147,892.25","146,417.80","146,529.30","298,882,392",-476.02
15-Aug-2025,"146,713.83","147,534.41","146,269.59","146,491.63","187,001,270",-37.67
18-Aug-2025,"146,679.73","148,395.71","146,403.64","148,196.42","229,068,568","1,704.79"
19-Aug-2025,"148,464.53","150,323.38","148,293.94","149,770.74","340,193,363","1,574.32"
20-Aug-2025,"150,106.16","151,261.67","149,931.67","150,591.00","275,222,539",820.26
21-Aug-2025,"150,948.93","151,249.62","148,272.57","149,235.26","426,272,064","-1,355.74"
22-Aug-2025,"149,659.84","150,465.17","149,448.93","149,493.05","335,531,698",257.79
25-Aug-2025,"149,828.16","150,079.75","148,757.13","148,815.30","210,516,386",-677.75
26-Aug-2025,"149,096.34","149,453.19","148,312.57","148,435.06","161,925,715",-380.24
27-Aug-2025,"148,841.67","149,237.91","147,337.02","147,494.03","186,411,160",-941.03
28-Aug-2025,"147,554.39","148,042.00","147,209.55","147,343.50","306,526,022",-150.53
29-Aug-2025,"147,591.81","149,234.94","147,488.46","148,617.77","624,598,293","1,274.27"
01-Sep-2025,"149,079.23","150,066.00","148,500.20","149,971.12","511,821,531","1,353.35"
02-Sep-2025,"150,318.61","151,075.67","150,081.40","150,975.48","441,999,922","1,004.36"
03-Sep-2025,"151,320.49","152,805.30","151,320.49","152,201.87","337,866,019","1,226.39"
04-Sep-2025,"152,599.44","153,411.05","152,264.96","152,665.72","407,266,609",463.85
05-Sep-2025,"153,149.44","154,511.31","153,129.78","154,277.19","471,374,828","1,611.47"
08-Sep-2025,"155,057.33","156,199.28","154,944.87","156,087.30","492,409,990","1,810.11"
09-Sep-2025,"156,640.09","157,088.80","155,044.25","156,563.52","480,306,328",476.22
10-Sep-2025,"156,571.73","157,479.42","156,079.52","157,020.79","437,129,643",457.27
11-Sep-2025,"157,284.65","157,816.76","156,103.81","156,141.24","402,820,222",-879.55
