DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
03-Jul-2025,291.02,299.9,289.9,291.64,"34,219",-3.79
04-Jul-2025,294,294.93,286,290.53,"14,302",-1.11
07-Jul-2025,290.53,299.5,290.52,293.29,"41,903",2.76
08-Jul-2025,297.99,298.33,290.01,291.14,"26,498",-2.15
09-Jul-2025,293,293,289.04,290,"20,978",-1.14
10-Jul-2025,292.99,319,290.01,301.98,"374,865",11.98
11-Jul-2025,311,312,305,306.41,"115,365",4.43
14-Jul-2025,305.01,307.99,302,306.2,"55,627",-0.21
15-Jul-2025,305.2,306.98,298.01,299.39,"22,141",-6.81
16-Jul-2025,298.01,299,284.01,294.15,"34,339",-5.24
17-Jul-2025,291.2,297.99,291,294.99,"17,742",0.84
18-Jul-2025,293.01,296,290,290.41,"18,177",-4.58
21-Jul-2025,294.5,294.5,288.01,290.89,"16,392",0.48
22-Jul-2025,291,298.98,290.6,295.79,"60,154",4.9
23-Jul-2025,296.12,303.11,296.12,300.36,"46,674",4.57
24-Jul-2025,302,311.98,302,306.32,"54,378",5.96
25-Jul-2025,306.32,309,305.01,306.08,"22,328",-0.24
28-Jul-2025,308.9,308.9,302.01,303.75,"16,068",-2.33
29-Jul-2025,305.97,308.99,303.7,306.05,"143,276",2.3
30-Jul-2025,306.5,306.5,300,300.3,"21,315",-5.75
31-Jul-2025,299.01,300.95,291.5,293.7,"14,677",-6.6
01-Aug-2025,293.7,296.99,291,292.32,"29,782",-1.38
04-Aug-2025,292.32,295.89,290,290.02,"32,510",-2.3
05-Aug-2025,290.1,292.99,285,291.37,"23,905",1.35
06-Aug-2025,294.9,303,291.13,292.87,"118,553",1.5
07-Aug-2025,293,299.8,290,290.37,"25,383",-2.5
08-Aug-2025,294.98,294.98,286.51,288.55,"23,847",-1.82
11-Aug-2025,288.75,291,284,285.01,"29,270",-3.54
12-Aug-2025,290,290,283,283.85,"73,181",-1.16
13-Aug-2025,283.85,287,280.1,283.12,"37,465",-0.73
15-Aug-2025,284.84,286,281.01,281.96,"22,133",-1.16
18-Aug-2025,281.12,283.93,280,282.87,"27,610",0.91
19-Aug-2025,283,285,280.1,281.23,"35,699",-1.64
20-Aug-2025,281.23,282.99,278.72,279.06,"36,656",-2.17
21-Aug-2025,281.3,283.99,277,277.8,"178,721",-1.26
22-Aug-2025,279.9,280.95,277,277.44,"21,403",-0.36
25-Aug-2025,281.7,281.7,274.05,276.02,"33,321",-1.42
26-Aug-2025,276.2,280.8,255,257.79,"107,806",-18.23
27-Aug-2025,258.01,258.01,249.05,250.38,"121,079",-7.41
28-Aug-2025,250.01,253,250,250.89,"34,829",0.51
29-Aug-2025,253.5,253.5,248,251.89,"23,983",1
01-Sep-2025,250.11,253.99,250,250.53,"28,752",-1.36
02-Sep-2025,250.53,256,250.1,253.33,"65,363",2.8
03-Sep-2025,253,257.99,252.01,252.91,"38,568",-0.42
04-Sep-2025,253,256,252.01,253.33,"40,650",0.42
05-Sep-2025,255.9,255.9,251.05,252.09,"16,890",-1.24
08-Sep-2025,253.01,253.2,250.5,251.23,"58,534",-0.86
09-Sep-2025,252.15,252.87,250,250.96,"23,866",-0.27
10-Sep-2025,252,276.06,252,276.06,"176,004",25.1
11-Sep-2025,283,290,272.8,274.96,"194,661",-1.1
12-Sep-2025,275.1,276.98,266,266.82,"46,501",-8.14
15-Sep-2025,266.82,270,264.24,265.8,"14,385",-1.02
16-Sep-2025,268.94,268.94,264.5,265.2,"16,038",-0.6
17-Sep-2025,267.83,267.83,263.5,264.22,"19,622",-0.98
18-Sep-2025,264.9,265.99,263,264.05,"10,345",-0.17
19-Sep-2025,264.1,264.13,259.5,261.82,"31,307",-2.23
22-Sep-2025,260.1,261.82,259.79,260.33,"34,721",-1.49
23-Sep-2025,260.01,262.87,259.5,260.46,"16,066",0.13
24-Sep-2025,25-Sep-2025,26-Sep-2025,27-Sep-2025,28-Sep-2025,29-Sep-2025,30-Sep-2025
25-Sep-2025,260,260.65,255,256.45,"19,122",-3.55
26-Sep-2025,255.11,266.99,255.1,260.12,"26,152",3.67
29-Sep-2025,258.03,262.22,255.57,258.67,"20,485",-1.45
30-Sep-2025,258.01,260,255,258.7,"45,459",0.03
01-Oct-2025,259,259,256,256.82,"22,970",-1.88
02-Oct-2025,257.7,258.69,254,254.08,"33,458",-2.74
03-Oct-2025,254.09,256,251.57,253.85,"21,298",-0.23
06-Oct-2025,254,260,251.51,252.75,"57,976",-1.1
07-Oct-2025,256.98,256.98,250.72,251.92,"21,430",-0.83
08-Oct-2025,254.9,254.9,251,251.62,"7,922",-0.3
09-Oct-2025,251.8,252.5,250.05,251.04,"9,572",-0.58
10-Oct-2025,250.01,253,248,248.37,"15,737",-2.67
13-Oct-2025,248,250,241.01,242.46,"16,632",-5.91
14-Oct-2025,246.99,249.1,243.01,245.93,"13,173",3.47
15-Oct-2025,247.98,247.99,242.51,243.07,"19,641",-2.86
16-Oct-2025,244,246,240,240.65,"17,745",-2.42
17-Oct-2025,240.56,242.99,239.01,240.02,"15,471",-0.63
20-Oct-2025,243.95,244,240,242.51,"10,923",2.49
21-Oct-2025,243.01,244.89,241.5,243.08,"9,637",0.57
22-Oct-2025,242.5,243.88,241.1,242.59,"13,289",-0.49
23-Oct-2025,243.5,243.84,240,240.74,"9,596",-1.85
24-Oct-2025,242.22,242.22,239,240.02,"10,059",-0.72
27-Oct-2025,242.97,242.97,238.61,239.57,"6,864",-0.45
28-Oct-2025,240,242,229,231.06,"18,800",-8.51
29-Oct-2025,231.2,233.98,225,226.48,"15,813",-4.58
30-Oct-2025,229.94,229.94,224.01,224.24,"15,858",-2.24
31-Oct-2025,224.05,229,224.05,225.81,"22,856",1.57
03-Nov-2025,228,228,224,225.3,"12,098",-0.51
04-Nov-2025,223.53,228.98,223.53,225.19,"8,850",-0.11
05-Nov-2025,227,227,224,224.91,"14,831",-0.28
06-Nov-2025,224,226,222.01,224.23,"5,452",-0.68
07-Nov-2025,223.02,225,223.01,223.12,"5,910",-1.11
10-Nov-2025,225.49,245.43,224.98,245.43,"54,437",22.31
11-Nov-2025,249.98,262.9,248,249.1,"170,456",3.67
12-Nov-2025,249.94,253.4,238.3,242.03,"14,687",-7.07
13-Nov-2025,240.01,246,240.01,242.47,"7,766",0.44
14-Nov-2025,240.05,243.98,239,239.64,"8,687",-2.83
17-Nov-2025,240,241.95,237.76,238.51,"9,325",-1.13
18-Nov-2025,237.81,241.99,237,238.54,"3,600",0.03
19-Nov-2025,238.54,241.89,234.8,235.86,"8,906",-2.68
20-Nov-2025,239,240,233,234.53,"10,154",-1.33
21-Nov-2025,236.68,237.75,232,232.55,"11,672",-1.98
24-Nov-2025,232,255.81,232,255.81,"113,969",23.26
25-Nov-2025,261.01,266.3,244.01,245.41,"191,810",-10.4
26-Nov-2025,246.5,246.5,236,239.06,"32,242",-6.35
27-Nov-2025,239,244.9,238,240.78,"19,477",1.72
28-Nov-2025,239.06,243,239.06,241.57,"16,028",0.79
01-Dec-2025,239.01,242.48,239.01,240.88,"11,618",-0.69
02-Dec-2025,242,242,236.02,239.15,"6,231",-1.73
03-Dec-2025,237.11,240.99,236.5,238.85,"7,212",-0.3
04-Dec-2025,236.58,238.99,232.01,237.39,"7,861",-1.46
05-Dec-2025,238,240,234.01,238.9,"8,160",1.51
08-Dec-2025,239.98,239.98,235.03,238.18,"10,378",-0.72
09-Dec-2025,239.95,240.99,236.03,238.26,"26,627",0.08
10-Dec-2025,239.89,258.99,236.11,241.27,"69,358",3.01
11-Dec-2025,243.99,243.99,239.14,240.5,"7,503",-0.77
12-Dec-2025,243.95,246.99,241.5,242.58,"38,599",2.08
15-Dec-2025,244.88,244.88,241.51,242.09,"25,670",-0.49
16-Dec-2025,244,244,238,238.13,"17,771",-3.96
17-Dec-2025,240.91,240.91,237,238.53,"7,321",0.4
18-Dec-2025,239.99,248.4,238.5,241.92,"97,579",3.39
19-Dec-2025,241.92,243,236.11,237.7,"16,921",-4.22
22-Dec-2025,237,239.99,235.02,237.87,"5,528",0.17
23-Dec-2025,237.85,239,236,236.11,"8,082",-1.76
24-Dec-2025,239.49,239.49,235,236.13,"16,460",0.02
26-Dec-2025,238.99,259.74,238,244.43,"376,986",8.3
29-Dec-2025,247,247,240.61,241.43,"21,091",-3
30-Dec-2025,242.2,242.99,241.2,241.87,"10,631",0.44
31-Dec-2025,243.99,245,241.3,241.94,"24,075",0.07
01-Jan-2026,242,244.88,242,243.19,"17,359",1.25
02-Jan-2026,242,254.47,242,249.91,"137,243",6.72
05-Jan-2026,251,254.5,247,247.15,"53,337",-2.76
06-Jan-2026,247.15,253.99,243.5,245.38,"172,780",-1.77
07-Jan-2026,247.49,247.98,244,245.21,"22,968",-0.17
08-Jan-2026,246,259.98,245,249.35,"233,226",4.14
09-Jan-2026,249,249.89,245.01,247.38,"30,066",-1.97
12-Jan-2026,247.01,249.9,244,244.85,"29,669",-2.53
13-Jan-2026,244.15,246.89,240,243.64,"21,125",-1.21
14-Jan-2026,243.01,245,240.9,241.13,"14,274",-2.51
15-Jan-2026,240.06,242.99,237,237.95,"22,271",-3.18
16-Jan-2026,237.95,245,237.95,240.15,"22,340",2.2
19-Jan-2026,240.01,244.35,240.01,241.57,"16,049",1.42
20-Jan-2026,241.1,243.94,239,242.42,"60,211",0.85
21-Jan-2026,242.42,242.42,238.5,239.93,"9,303",-2.49
22-Jan-2026,240.11,241.8,239,240.04,"21,732",0.11
23-Jan-2026,239.06,241.59,239,239.1,"9,730",-0.94
26-Jan-2026,239.11,240.5,237.37,239.4,"8,545",0.3
27-Jan-2026,241.16,241.16,238,238.32,"13,240",-1.08
28-Jan-2026,239.99,239.99,236.1,237.23,"7,737",-1.09
29-Jan-2026,237.3,239,235.5,237.88,"23,923",0.65
30-Jan-2026,237.01,237.5,232.23,235.34,"21,988",-2.54
02-Feb-2026,235.34,235.34,230.1,234,"12,453",-1.34
03-Feb-2026,234.99,237,232,234.83,"11,568",0.83
04-Feb-2026,235,236.98,231.01,232.76,"19,747",-2.07
06-Feb-2026,235.78,235.78,231.03,231.74,"11,913",-1.02
09-Feb-2026,231.75,233.12,228.5,229.22,"14,919",-2.52
10-Feb-2026,231.48,231.49,220.01,229.67,"9,457",0.45
11-Feb-2026,231.39,239,229.99,237.25,"60,776",7.58
12-Feb-2026,238.99,244,235.1,240.75,"80,028",3.5
13-Feb-2026,242.49,242.49,238,240.09,"24,466",-0.66
16-Feb-2026,240.09,241.5,235,235.6,"13,220",-4.49
17-Feb-2026,236.5,239.79,234.6,235.12,"13,217",-0.48
18-Feb-2026,235.5,238.99,232,235.86,"6,519",0.74
