DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
26-Nov-2025,4.49,4.68,4.2,4.3,"1,011,759",-0.07
27-Nov-2025,4.29,4.3,4.18,4.21,"777,223",-0.09
28-Nov-2025,4.3,4.31,4.11,4.17,"758,541",-0.04
01-Dec-2025,4.17,4.4,4.1,4.39,"1,150,224",0.22
02-Dec-2025,4.36,4.49,4.31,4.37,"353,606",-0.02
03-Dec-2025,4.4,4.5,4.27,4.31,"731,936",-0.06
04-Dec-2025,4.31,4.37,4.18,4.2,"559,128",-0.11
05-Dec-2025,4.24,4.34,4.19,4.2,"319,836",0
08-Dec-2025,4.11,4.33,4.11,4.27,"468,506",0.07
09-Dec-2025,4.3,4.34,4.18,4.21,"671,054",-0.06
10-Dec-2025,4.2,4.29,4.1,4.15,"2,367,752",-0.06
11-Dec-2025,4.16,4.4,4.13,4.23,"1,287,117",0.08
12-Dec-2025,4.27,4.4,4.23,4.29,"1,420,583",0.06
15-Dec-2025,4.35,4.49,4.34,4.36,"693,850",0.07
16-Dec-2025,4.44,4.44,4.19,4.23,"1,371,111",-0.13
17-Dec-2025,4.44,4.44,4.24,4.25,"484,946",0.02
18-Dec-2025,4.22,4.34,4.22,4.24,"656,456",-0.01
19-Dec-2025,4.33,4.33,4.15,4.22,"764,016",-0.02
22-Dec-2025,4.15,4.27,4.15,4.16,"268,611",-0.06
23-Dec-2025,4.16,4.16,4.04,4.06,"862,609",-0.1
24-Dec-2025,4,4.12,3.95,3.99,"1,047,871",-0.07
26-Dec-2025,3.99,4.14,3.97,3.99,"388,149",0
29-Dec-2025,4.08,4.08,3.8,3.81,"1,677,346",-0.18
30-Dec-2025,3.81,3.98,3.8,3.88,"980,413",0.07
31-Dec-2025,3.89,4.06,3.81,3.84,"1,118,325",-0.04
01-Jan-2026,3.84,4.84,3.81,4.84,"21,641,143",1
02-Jan-2026,5.49,5.84,5.18,5.84,"43,632,061",1
05-Jan-2026,5.92,6.39,5.41,5.68,"48,393,689",-0.16
06-Jan-2026,5.74,6.68,5.65,6.68,"40,393,241",1
07-Jan-2026,7,7.58,6.75,6.91,"44,825,045",0.23
08-Jan-2026,7.4,7.65,6.69,6.81,"38,006,681",-0.1
09-Jan-2026,6.82,7.81,6.35,7.61,"56,234,533",0.8
12-Jan-2026,8.3,8.61,8.1,8.61,"21,308,931",1
13-Jan-2026,9,9.3,7.94,8.32,"67,419,636",-0.29
14-Jan-2026,8.35,8.53,7.32,7.37,"25,739,287",-0.95
15-Jan-2026,7.45,8.3,7.15,8.15,"43,655,786",0.78
16-Jan-2026,8.25,8.82,8.15,8.32,"34,721,632",0.17
19-Jan-2026,8.5,8.5,7.6,7.74,"17,503,118",-0.58
20-Jan-2026,7.6,8.66,7.4,8.42,"27,010,783",0.68
21-Jan-2026,8.51,8.76,7.82,7.97,"19,252,219",-0.45
22-Jan-2026,7.97,8.3,7.48,7.65,"10,547,551",-0.32
23-Jan-2026,7.85,7.85,7.48,7.56,"3,274,603",-0.09
26-Jan-2026,7.6,7.6,7.25,7.29,"5,846,844",-0.27
27-Jan-2026,7.26,7.34,7,7.05,"5,119,448",-0.24
28-Jan-2026,7.05,7.49,7,7.11,"4,642,327",0.06
29-Jan-2026,7.2,7.34,6.7,6.81,"4,938,237",-0.3
30-Jan-2026,6.9,7.1,6.62,6.83,"2,072,775",0.02
02-Feb-2026,6.83,6.86,6.51,6.61,"1,830,942",-0.22
03-Feb-2026,6.52,6.88,6.5,6.72,"2,571,749",0.11
04-Feb-2026,6.55,7,6.55,6.68,"1,350,450",-0.04
06-Feb-2026,6.68,6.7,6.06,6.33,"1,624,239",-0.35
09-Feb-2026,6.4,6.59,6,6.2,"1,883,708",-0.13
10-Feb-2026,6.27,6.49,6.03,6.14,"915,953",-0.06
11-Feb-2026,6.2,6.39,5.95,6.02,"2,720,743",-0.12
12-Feb-2026,6.02,6.2,5.7,5.79,"1,569,775",-0.23
13-Feb-2026,5.86,5.87,5.6,5.67,"1,539,185",-0.12
16-Feb-2026,5.78,5.78,5.26,5.38,"1,529,486",-0.29
17-Feb-2026,5.44,5.56,5.01,5.16,"1,402,780",-0.22
18-Feb-2026,5.15,6.11,5.15,5.98,"6,272,087",0.82
19-Feb-2026,5.98,6,5.3,5.39,"1,504,630",-0.59
20-Feb-2026,5.38,5.55,5.11,5.32,"806,393",-0.07
