DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
25-Jun-2025,135.98,146.29,133,146.29,"45,344",13.3
26-Jun-2025,153,158,144.1,146.16,"103,835",-0.13
27-Jun-2025,146.74,150,144.06,148.48,"35,515",2.32
30-Jun-2025,146,146.95,133.63,142.16,"9,878",-6.32
01-Jul-2025,140.02,143.94,140.02,141.11,"8,639",-1.05
02-Jul-2025,140.2,145,140.1,143.82,"14,402",2.71
03-Jul-2025,144,144.5,142,142.11,"7,790",-1.71
04-Jul-2025,142.13,144,142,142.08,"3,604",-0.03
07-Jul-2025,142.95,146.98,140.03,146.17,"10,780",4.09
08-Jul-2025,147.98,153.95,146,149,"24,902",2.83
09-Jul-2025,149,153.5,145.26,151.33,"9,479",2.33
10-Jul-2025,153.23,154,151.02,151.36,"21,457",0.03
11-Jul-2025,152,154.77,150,150.38,"8,989",-0.98
14-Jul-2025,150.52,154,149.02,150.52,"21,946",0.14
15-Jul-2025,149.03,149.5,147.5,147.81,"21,095",-2.71
16-Jul-2025,146.86,149,144,146.2,"32,064",-1.61
17-Jul-2025,147.5,159.91,147.5,150.98,"9,174",4.78
18-Jul-2025,151.98,151.98,147,150.61,"5,902",-0.37
21-Jul-2025,151.98,151.98,147.51,147.97,"4,837",-2.64
22-Jul-2025,149.9,151.98,147,149.05,"8,629",1.08
23-Jul-2025,149.05,151.9,147.11,148.17,"6,597",-0.88
24-Jul-2025,150.49,162.99,148.5,162.99,"254,238",14.82
25-Jul-2025,168,179.29,168,179.29,"620,875",16.3
28-Jul-2025,186,197.22,170,173.5,"1,055,201",-5.79
29-Jul-2025,175,185,174,174.83,"369,761",1.33
30-Jul-2025,178.98,179,165,165.62,"41,166",-9.21
31-Jul-2025,168.98,173,157.51,166.67,"15,804",1.05
01-Aug-2025,170,170,160.18,161.74,"13,249",-4.93
04-Aug-2025,162.3,170.01,160,164.56,"60,964",2.82
05-Aug-2025,164.56,181.02,164.56,181.02,"466,941",16.46
06-Aug-2025,188,188.4,172.27,174.07,"180,962",-6.95
07-Aug-2025,175.9,178,172,173.57,"51,595",-0.5
08-Aug-2025,175.9,175.9,172,174.81,"20,180",1.24
11-Aug-2025,174.5,178,174.5,175.86,"37,652",1.05
12-Aug-2025,177,181,174.3,175.02,"124,740",-0.84
13-Aug-2025,175.99,192.52,175.15,190.84,"1,320,053",15.82
15-Aug-2025,190.4,194.1,187,187.47,"374,267",-3.37
18-Aug-2025,188.1,190.15,181.11,182.67,"118,735",-4.8
19-Aug-2025,185.2,185.2,179,180.05,"54,282",-2.62
20-Aug-2025,180.55,188,180.55,186.09,"80,510",6.04
21-Aug-2025,188.98,188.98,179,181.27,"112,568",-4.82
22-Aug-2025,183.5,183.97,180,180.87,"49,618",-0.4
25-Aug-2025,187.44,187.44,182,184.34,"123,162",3.47
26-Aug-2025,186,186.85,181,183.6,"60,613",-0.74
27-Aug-2025,184.5,185,183,183.74,"39,354",0.14
28-Aug-2025,184,184,179.51,180.19,"66,627",-3.55
29-Aug-2025,181,184,179.5,180.15,"65,325",-0.04
01-Sep-2025,180.8,184,180.8,181,"76,322",0.85
02-Sep-2025,183,183.9,181,181.9,"36,503",0.9
03-Sep-2025,184,184,180,180.12,"59,460",-1.78
04-Sep-2025,181.49,187.45,180,182.23,"137,536",2.11
