DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CHANGE
02-Jul-2025,84,84.5,83,83.61,"6,782,834",0.16
03-Jul-2025,83.62,84.25,83,83.46,"3,266,319",-0.15
04-Jul-2025,83.98,83.98,82,82.66,"3,515,802",-0.8
07-Jul-2025,83.01,85.17,81.9,84.63,"12,693,209",1.97
08-Jul-2025,85.34,86.9,83.11,85.25,"15,130,701",0.62
09-Jul-2025,85.44,85.5,84.01,84.93,"3,117,366",-0.32
10-Jul-2025,85.5,85.5,83.7,84.07,"3,784,454",-0.86
11-Jul-2025,84.51,87.85,84.01,84.73,"13,747,900",0.66
14-Jul-2025,85.1,86.2,84.6,84.83,"2,858,626",0.1
15-Jul-2025,84.5,85.37,82.79,84.48,"3,859,934",-0.35
16-Jul-2025,84.01,85.15,83.9,84.87,"3,334,011",0.39
17-Jul-2025,85,86.3,84.7,85.44,"4,451,577",0.57
18-Jul-2025,85.43,85.99,83,84.02,"4,598,030",-1.42
21-Jul-2025,84.8,84.8,83.03,83.19,"1,874,506",-0.83
22-Jul-2025,83.2,84.55,83.19,83.57,"4,404,946",0.38
23-Jul-2025,84.16,84.2,82.45,82.72,"3,017,793",-0.85
24-Jul-2025,83.39,83.5,82.1,82.51,"1,958,654",-0.21
25-Jul-2025,82.88,83,81.3,81.54,"3,166,984",-0.97
28-Jul-2025,82.48,84.01,81.6,83.3,"5,729,101",1.76
29-Jul-2025,83.65,83.89,81.01,81.75,"3,562,736",-1.55
30-Jul-2025,82.26,83,78.11,79.62,"14,501,544",-2.13
31-Jul-2025,80,81.97,79,81.35,"4,855,419",1.73
01-Aug-2025,81.76,84.05,81.11,82.71,"7,083,559",1.36
04-Aug-2025,83.89,85.54,83.23,84.98,"12,138,161",2.27
05-Aug-2025,85.25,86.75,84.2,84.41,"9,577,738",-0.57
06-Aug-2025,84.45,85.9,84.2,85.08,"5,518,269",0.67
07-Aug-2025,85.51,85.75,82.21,83.3,"6,886,062",-1.78
08-Aug-2025,83.55,84,82.06,83.19,"3,883,865",-0.11
11-Aug-2025,83.75,85,82,84.58,"4,068,468",1.39
12-Aug-2025,84.65,86.5,84.1,85.66,"8,204,992",1.08
13-Aug-2025,85.88,87.5,85.1,85.98,"10,464,915",0.32
15-Aug-2025,86.5,87.24,85.51,85.95,"2,468,596",-0.03
18-Aug-2025,85.75,90.08,85.75,89.55,"14,553,824",3.6
19-Aug-2025,89.99,95.45,89.75,92.49,"20,615,863",2.94
20-Aug-2025,92.95,94.9,91.4,93.04,"5,585,020",0.55
21-Aug-2025,93.94,96.5,91.5,93.78,"14,950,735",0.74
22-Aug-2025,94.24,97.79,93.6,95.32,"8,317,198",1.54
25-Aug-2025,96,96,94.45,94.64,"1,777,164",-0.68
26-Aug-2025,95.31,98,94.64,96.2,"6,671,215",1.56
27-Aug-2025,96.94,96.94,93.84,94.15,"4,478,123",-2.05
28-Aug-2025,94.88,96.25,93.14,95.86,"3,784,353",1.71
29-Aug-2025,96.26,105.1,96.05,102.68,"19,323,994",6.82
01-Sep-2025,103,106.74,100.4,104.83,"12,381,084",2.15
02-Sep-2025,104.8,105.75,103.2,103.77,"5,074,570",-1.06
03-Sep-2025,103.86,105.94,103.25,103.8,"5,694,921",0.03
04-Sep-2025,104.74,107.8,104,105.98,"10,161,321",2.18
05-Sep-2025,105.98,110.99,105.7,109.33,"14,764,166",3.35
08-Sep-2025,110.51,114.5,107.1,109.13,"12,992,430",-0.2
09-Sep-2025,108.99,109.24,105.83,107.06,"6,032,009",-2.07
10-Sep-2025,107,108.48,105.99,106.84,"7,107,537",-0.22
11-Sep-2025,106.95,108.75,106,106.24,"3,829,794",-0.6
12-Sep-2025,106.24,106.98,101.01,102.35,"8,399,946",-3.89
15-Sep-2025,102.5,106.2,102,105.5,"4,869,255",3.15
16-Sep-2025,105.98,107.6,105.74,106.13,"4,746,783",0.63
17-Sep-2025,106.72,107.99,105.1,107.15,"5,729,029",1.02
18-Sep-2025,108.47,109.75,107.5,108.13,"5,670,588",0.98
19-Sep-2025,108,108.69,103.01,107.53,"3,519,406",-0.6
22-Sep-2025,107.5,109.6,105,105.94,"3,414,730",-1.59
23-Sep-2025,106.8,108.49,105.9,106.97,"2,663,753",1.03
24-Sep-2025,107.5,108.95,107,107.48,"3,022,327",0.51
25-Sep-2025,107.92,108.49,107.15,107.48,"2,145,227",0
26-Sep-2025,107.55,113.5,107.55,110.77,"14,195,919",3.29
29-Sep-2025,111,111.3,107.99,108.78,"3,900,367",-1.99
30-Sep-2025,108.78,111.51,107.77,109.61,"9,749,794",0.83
01-Oct-2025,110.1,110.3,107.02,108.59,"4,744,326",-1.02
02-Oct-2025,108.97,109.4,107.7,107.97,"2,510,511",-0.62
03-Oct-2025,108.56,112,108.1,108.91,"6,723,576",0.94
06-Oct-2025,108.9,108.9,106.25,107.35,"3,042,065",-1.56
07-Oct-2025,107.37,107.9,105.4,105.8,"2,227,139",-1.55
08-Oct-2025,105.5,106.6,104,104.14,"2,215,884",-1.66
09-Oct-2025,104.1,105.84,100.5,102.1,"3,419,709",-2.04
10-Oct-2025,102,106.79,99.5,105,"5,221,281",2.9
13-Oct-2025,102.11,104.7,98.6,100.47,"11,175,634",-4.53
14-Oct-2025,104.3,106,102.39,105.57,"5,605,124",5.1
15-Oct-2025,107.49,107.49,102.01,102.47,"5,098,090",-3.1
16-Oct-2025,103.48,104.87,102.05,102.54,"7,301,562",0.07
17-Oct-2025,102.7,103.9,100,100.96,"5,954,788",-1.58
20-Oct-2025,102,102.38,100.01,101.4,"3,162,526",0.44
21-Oct-2025,101.4,102.55,101.01,101.38,"3,080,039",-0.02
22-Oct-2025,102.1,102.7,100.5,101.1,"2,395,660",-0.28
23-Oct-2025,101.6,101.6,97.52,98.84,"2,909,047",-2.26
24-Oct-2025,99.2,99.8,96.92,97.5,"2,144,532",-1.34
27-Oct-2025,97.5,98.99,95.1,97.84,"1,837,866",0.34
28-Oct-2025,97,98.98,93,94.13,"2,942,175",-3.71
29-Oct-2025,94.13,95.4,92,92.29,"2,028,851",-1.84
30-Oct-2025,92.98,93.8,90.55,92.15,"3,996,884",-0.14
31-Oct-2025,93.2,96.5,93.01,95.89,"3,258,567",3.74
03-Nov-2025,96.6,98,95.98,97.01,"2,120,136",1.12
04-Nov-2025,97.2,97.5,94.9,95.35,"2,172,659",-1.66
05-Nov-2025,95.35,96,92.25,94.37,"4,525,576",-0.98
06-Nov-2025,95.9,95.9,90.5,91.83,"3,126,303",-2.54
07-Nov-2025,91.99,93.39,91.01,91.29,"3,190,763",-0.54
10-Nov-2025,92.5,96.48,91.01,94.45,"5,872,627",3.16
11-Nov-2025,95.47,95.47,89.75,90.38,"5,808,627",-4.07
12-Nov-2025,90.82,92.49,89.75,90.14,"3,410,337",-0.24
13-Nov-2025,92.9,99.15,92.9,99.15,"22,759,448",9.01
14-Nov-2025,105,108,103.3,105.79,"27,755,407",6.64
17-Nov-2025,105.47,105.9,101.82,102.59,"14,287,409",-3.2
18-Nov-2025,102.99,105.89,99.2,101.14,"20,223,601",-1.45
19-Nov-2025,102.88,108.39,100.63,104.46,"25,418,565",3.32
20-Nov-2025,105.48,107.05,103.83,105.72,"9,700,956",1.26
21-Nov-2025,105.1,106,102,102.78,"4,796,688",-2.94
24-Nov-2025,102.9,105.18,102,104.67,"5,800,345",1.89
25-Nov-2025,104.67,105.25,102.6,103.06,"3,213,506",-1.61
26-Nov-2025,103.1,103.5,99.5,102.49,"7,524,515",-0.57
27-Nov-2025,102.5,105,102.5,104.6,"4,707,541",2.11
28-Nov-2025,104.9,106,104.11,105.4,"7,799,344",0.8
01-Dec-2025,105,106.5,103.6,105.3,"7,568,979",-0.1
02-Dec-2025,105.9,107.97,104.12,105.39,"9,519,361",0.09
03-Dec-2025,106,106.25,103.9,104.12,"4,056,334",-1.27
04-Dec-2025,104.94,105.9,103.82,104.82,"5,761,447",0.7
